provinciale_weg_108,N714,Muntweg,N714 Muntweg,NOP,
provinciale_weg_109,N712,Staartweg,N712 Staartweg,NOP,
provinciale_weg_110,N716,Nagelerweg,N716 Nagelerweg,NOP,
provinciale_weg_111,N716,Akkerstraat,N716 Akkerstraat,NOP,
provinciale_weg_112,N712,Galamalaan,N712 Galamalaan,NOP,
provinciale_weg_113,N352,Schokkerringweg,N352 Schokkerringweg,NOP,
provinciale_weg_114,N305,Biddingringweg,N305 Biddingringweg,OF,
provinciale_weg_115,N307,Dronterweg,,,
provinciale_weg_116,N309,Elburgerweg,,,
provinciale_weg_117,N714,Espelerweg,,,
provinciale_weg_118,N302,Ganzenweg,,,
provinciale_weg_119,N305,Gooiseweg,,,
provinciale_weg_120,N717,Hannie Schaftweg,,,
provinciale_weg_121,N307,Hanzeweg,,,
provinciale_weg_122,,Kamperweg,,,
provinciale_weg_123,N351,Kuinderweg,,,
provinciale_weg_124,N351,Kuinderweg,,,
provinciale_weg_125,,Larserpad,,,
provinciale_weg_126,N302,Larserweg,,,
provinciale_weg_127,N716,Nagelerweg,,,
provinciale_weg_128,N301,Nijkerkseweg,,,
provinciale_weg_129,N705,Spiekweg,,,
provinciale_weg_130,N351,Urkerweg,,,
provinciale_weg_131,N713,Zuidwesterringweg,,,
provinciale_weg_132,N706,Vogelweg,,,
provinciale_weg_133,N706,Vogelweg,,,
provinciale_weg_134,N331,Vollenhoverweg,N331 Vollenhoverweg,NOP,
provinciale_weg_135,N305,Waterlandseweg,,,
provinciale_weg_136,N309,Elburgerweg,N309 Elburgerweg,OF,
provinciale_weg_137,,Larserpad,,,
provinciale_weg_138,,Larserpad,,,
provinciale_weg_0,,Nijkerkerpad,,,
